"Table 1: Alcohol-specific age-standardised death rates, for English regions and constituent countries of the United Kingdom, 2001 to 2021 [note 2] [note 4] [note 6] [note 7] [note 8]",,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Sex,Year [note 3],Number of deaths,"Age-standardised rate per 100,000",Lower 95% confidence interval,Upper 95% confidence interval,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2001,278,8.6,7.6,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2001,517,17.1,15.6,18.6,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2001,795,12.7,11.8,13.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2002,277,8.6,7.5,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2002,524,17.2,15.8,18.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2002,801,12.7,11.8,13.6,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2003,280,8.6,7.6,9.6,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2003,585,18.6,17.1,20.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2003,865,13.5,12.6,14.4,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2004,329,10.0,8.9,11.1,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2004,595,19.0,17.4,20.5,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2004,924,14.3,13.4,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2005,328,9.8,8.8,10.9,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2005,613,19.2,17.6,20.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2005,941,14.4,13.5,15.3,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2006,348,10.4,9.3,11.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2006,608,19.0,17.5,20.5,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2006,956,14.6,13.6,15.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2007,361,10.8,9.7,12.0,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2007,687,21.5,19.9,23.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2007,1048,16.0,15.0,17.0,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2008,379,11.3,10.2,12.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2008,666,20.7,19.2,22.3,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2008,1045,15.9,14.9,16.9,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2009,351,10.3,9.3,11.4,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2009,671,20.5,18.9,22.0,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2009,1022,15.3,14.4,16.2,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2010,354,10.4,9.3,11.5,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2010,649,19.7,18.2,21.2,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2010,1003,14.9,14.0,15.9,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2011,348,10.1,9.1,11.2,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2011,703,21.1,19.6,22.7,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2011,1051,15.5,14.6,16.5,,,,,,,,,,,,,,,,,
E12000002,North West,Females,2012,385,11.1,10.0,12.3,,,,,,,,,,,,,,,,,
E12000002,North West,Males,2012,645,19.6,18.1,21.1,,,,,,,,,,,,,,,,,
E12000002,North West,Persons,2012,1030,15.2,14.3,16.2,,,,,,,,,,,,,,,,,
