"","Sex","Area","Year","suic_rates","unemp_rate","Benclm_wb"
"542","Male","West Midlands",2012,14.8,9.35,7.26666666666667
"543","Male","West Midlands",2013,16.2,10,5.86666666666667
"544","Male","West Midlands",2014,18.5,7.975,4.25833333333333
"545","Male","West Midlands",2015,15.2,6.325,3.15833333333333
"546","Male","West Midlands",2016,13.9,5.875,3.25
"547","Male","West Midlands",2017,15.4,5.625,3.29166666666667
"548","Male","West Midlands",2018,15.7,5.125,3.53333333333333
"549","Male","West Midlands",2019,16.4,4.825,4.225
"550","Male","West Midlands",2020,16.4,5.3,7.24166666666667
"551","Male","West Midlands",2021,16.6,5.25,7.7
"552","Male","Yorkshire and The Humber",1993,17.3,12.4,13.5666666666667
"553","Male","Yorkshire and The Humber",1994,18.8,11.425,12.8833333333333
"554","Male","Yorkshire and The Humber",1995,18.4,10.075,11.4333333333333
"555","Male","Yorkshire and The Humber",1996,16.8,10.1,11.3416666666667
"556","Male","Yorkshire and The Humber",1997,17.8,8.875,8.80833333333333
"557","Male","Yorkshire and The Humber",1998,20,8.325,7.75
"558","Male","Yorkshire and The Humber",1999,19.1,7.4,7.05
"559","Male","Yorkshire and The Humber",2000,16.1,6.95,6.175
"560","Male","Yorkshire and The Humber",2001,16.1,6.4,5.63333333333333
"561","Male","Yorkshire and The Humber",2002,16.3,6.025,5.14166666666667
"562","Male","Yorkshire and The Humber",2003,14.8,5.9,4.66666666666667
"563","Male","Yorkshire and The Humber",2004,16.9,5,3.98333333333333
"564","Male","Yorkshire and The Humber",2005,16.2,5.35,4.08333333333333
"565","Male","Yorkshire and The Humber",2006,14.5,6.525,4.6
"566","Male","Yorkshire and The Humber",2007,15.1,6.4,4.225
"567","Male","Yorkshire and The Humber",2008,16.1,6.9,4.60833333333333
"568","Male","Yorkshire and The Humber",2009,14.4,10.075,7.74166666666667
"569","Male","Yorkshire and The Humber",2010,12.6,10.925,7.53333333333333
"570","Male","Yorkshire and The Humber",2011,15.9,10.9,7.39166666666667
"571","Male","Yorkshire and The Humber",2012,16.9,10.275,7.68333333333333
"572","Male","Yorkshire and The Humber",2013,17.9,9.675,6.45
"573","Male","Yorkshire and The Humber",2014,15.6,7.1,4.79166666666667
"574","Male","Yorkshire and The Humber",2015,17.9,6.975,3.59166666666667
"575","Male","Yorkshire and The Humber",2016,15.8,6.275,3.25
"576","Male","Yorkshire and The Humber",2017,15.3,5.45,3.10833333333333
"577","Male","Yorkshire and The Humber",2018,19,4.6,3.33333333333333
"578","Male","Yorkshire and The Humber",2019,20.6,4.525,4
"579","Male","Yorkshire and The Humber",2020,18,5.375,6.90833333333333
"580","Male","Yorkshire and The Humber",2021,17.8,5.075,7.06666666666667
